INVOICE_NUMBER,DATE,VENDOR_NUMBER,VENDORNAME,INVOICE_DESCRIPTION,ACCOUNT_DESCRIPTION,DEPTNAME,DEPTNUM,SUBDEPTNAME,SUBDEPTNUM,FYR,AMOUNT
WIRE FEE 2/15,11-FEB-15,33,BANK OF AMERICA - CARDS,152AF094165K0N37,EVENT CENTER BOND DEBT FUND-Debt Service-Non-Departmental-Outside services-other,Debt Service Expenditures,1500,Debt Service-Non-Departmental,1500-9999,Fiscal 14/15,45
CLAIMS WK 021115,11-FEB-15,5256,CDS GROUP HEALTH,MEDICAL/DENTAL SERVICES,IAFF SELF FUNDED MEDICAL FUND-Human Resources-Insurance Management-Claims-payments,Human Resources,0600,Human Resources-Insurance Management,0600-0690,Fiscal 14/15,148317.1
CLAIMS WK 021115,11-FEB-15,5256,CDS GROUP HEALTH,MEDICAL/DENTAL SERVICES,RENO SELF FUNDED MEDICAL FUND-Human Resources-Insurance Management-Claims-payments,Human Resources,0600,Human Resources-Insurance Management,0600-0690,Fiscal 14/15,191939.74
1/1/15-1/31/15,06-FEB-15,453,NEVADA STATE CONTROLLER,FEES,"COURT ADMIN ASSESSMENT FUND-Deposit, AA Fees-State",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,4418
BENFIT CARD2/08,08-FEB-15,5256,CDS GROUP HEALTH,FLEX SPENDING - COR,GENERAL FUND-Flex Spend Acct-City,Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,7325.43
CONT ED 1/15,06-FEB-15,1970,BOARD OF CONTINUING LEGAL EDUCATION,MEMBERSHIPS/ASSOCIATIONS,GENERAL FUND-City Attorney-Civil Division-Miscellaneous operating expense,City Attorney,0500,City Attorney-Civil Litigation-Legal Council,0500-0550,Fiscal 14/15,300
2015-00002608,06-FEB-15,665,CHASE,"TRAINING, Meals",GENERAL FUND-City Attorney-Civil Division-Employee training/travel,City Attorney,0500,City Attorney-Civil Litigation-Legal Council,0500-0550,Fiscal 14/15,28
2763514-Q42014,06-FEB-15,26569,PACER SERVICE CENTER,SUBSCRIPTIONS/BOOKS/MANUALS/PUBLICATIONS,GENERAL FUND-City Attorney-Civil Division-Miscellaneous operating expense,City Attorney,0500,City Attorney-Civil Litigation-Legal Council,0500-0550,Fiscal 14/15,75
HALL/2015,06-FEB-15,5391,WASHOE COUNTY BAR ASSOCIATION,MEMBERSHIPS/ASSOCIATIONS,GENERAL FUND-City Attorney-Civil Division-Miscellaneous operating expense,City Attorney,0500,City Attorney-Civil Litigation-Legal Council,0500-0550,Fiscal 14/15,75
2015-00002609,06-FEB-15,6224,,"TRAINING, Meals",GENERAL FUND-City Attorney-Civil Division-Employee training/travel,City Attorney,0500,City Attorney-Civil Litigation-Legal Council,0500-0550,Fiscal 14/15,78
CONT ED 1/15,06-FEB-15,1970,BOARD OF CONTINUING LEGAL EDUCATION,MEMBERSHIPS/ASSOCIATIONS,GENERAL FUND-City Attorney-Criminal Division-Miscellaneous operating expense,City Attorney,0500,City Attorney-Criminal Prosecution,0500-0560,Fiscal 14/15,220
HALL/2015,06-FEB-15,5391,WASHOE COUNTY BAR ASSOCIATION,MEMBERSHIPS/ASSOCIATIONS,GENERAL FUND-City Attorney-Criminal Division-Miscellaneous operating expense,City Attorney,0500,City Attorney-Criminal Prosecution,0500-0560,Fiscal 14/15,75
2529,06-FEB-15,402,WAAAHOO PRODUCTIONS,PHOTOGRAPHIC SUPPLIES/SERVICES,ROOM TAX FUND-City Council-Council Tourism-Non-city programs,City Council,0100,City Council-Council Tourism,0100-0110,Fiscal 14/15,192
2015-00002641,06-FEB-15,6792,CHARTER COMMUNICATIONS,CABLE TELEVISION,GENERAL FUND-City Council-Legislative-Communication,City Council,0100,City Council-Legislative,0100-0180,Fiscal 14/15,39.97
FY2015/2,06-FEB-15,27697,NEVADA STATE COMM ON ETHICS,FEES,GENERAL FUND-City Council-Legislative-Outside services-other,City Council,0100,City Council-Legislative,0100-0180,Fiscal 14/15,22330.74
2015-00002641,06-FEB-15,6792,CHARTER COMMUNICATIONS,CABLE TELEVISION,GENERAL FUND-City Manager-Administration-Communication,City Manager,0300,City Manager-Administration,0300-0170,Fiscal 14/15,79.94
978204,06-FEB-15,25331,OFFICEMAX,OFFICE SUPPLIES,GENERAL FUND-City Manager-Administration-Supplies,City Manager,0300,City Manager-Administration,0300-0170,Fiscal 14/15,8.3
2015-00002638,06-FEB-15,5575,,TRAINING,GENERAL FUND-City Manager-Administration-Employee training/travel,City Manager,0300,City Manager-Administration,0300-0170,Fiscal 14/15,513.78
2015,06-FEB-15,7759,3CMA,MEMBERSHIPS/ASSOCIATIONS,GENERAL FUND-City Manager-Public Information-Outside services-other,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,390
2015-00002644,06-FEB-15,428,AT&T,"UTILITIES, TELEPHONE",GENERAL FUND-City Manager-Public Information-Communication,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,328.49
747167046001,06-FEB-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,1743.35
745174547001,06-FEB-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,19.99
750179174001,06-FEB-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,295.82
747430388001,06-FEB-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,253
744812395001,06-FEB-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,-4232.57
741606813001,06-FEB-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,-350
738983054001,06-FEB-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,4232.57
750066465001,06-FEB-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,2.08
722885742001,06-FEB-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,29
745931315001,06-FEB-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,19.99
745517794001,06-FEB-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,350
747673485001,06-FEB-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,216
749169429001,06-FEB-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,19.99
746673633001,06-FEB-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,24.99
746404921001,06-FEB-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,280
2015-00002626,06-FEB-15,9999999999,TEMP,BAIL REFUND CITY OF RENO VS. NATE JAMES BURCH,"GENERAL FUND-Deposits, bails",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,250
749173407001,06-FEB-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,209.65
750075156001,06-FEB-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,277.2
746982419001,06-FEB-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,105
20150001,06-FEB-15,6078,,VIDEO PRODUCTION SERVICES & SUPPLIES,GENERAL FUND-City Manager-Public Information-Outside services-other,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,875
20140044,06-FEB-15,6078,,VIDEO PRODUCTION SERVICES & SUPPLIES,GENERAL FUND-City Manager-Public Information-Outside services-other,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,375
RENO012719,06-FEB-15,6029,,PROFESSIONAL SERVICES,GENERAL FUND-City Manager-Public Information-Outside services-other,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,2041
CLAIM #14055,06-FEB-15,9999999999,TEMP,SETTLEMENT OF CLAIM NO. 14055,RISK MANAGEMENT FUND-City Manager-Risk Management-Claims-payments,City Manager,0300,City Manager-Risk Management,0300-0350,Fiscal 14/15,65
109510,06-FEB-15,668,BOARD OF REGENTS-UNR M/S 294,ADVERTISING/PROMOTIONAL SERVICES,GENERAL FUND-City Manager-Special Events-Non-city programs,City Manager,0300,City Manager-Special Events,0300-0330,Fiscal 14/15,475
109345,06-FEB-15,668,BOARD OF REGENTS-UNR M/S 294,ADVERTISING/PROMOTIONAL SERVICES,GENERAL FUND-City Manager-Special Events-Non-city programs,City Manager,0300,City Manager-Special Events,0300-0330,Fiscal 14/15,525
FSA 020615,06-FEB-15,5256,CDS GROUP HEALTH,FLEX SPENDING - COR,GENERAL FUND-Flex Spend Acct-City,Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,812.47
FSA FIRE 2/6/15,06-FEB-15,5256,CDS GROUP HEALTH,FLEX SPENDING - COR,GENERAL FUND-Flex Spend Acct-City,Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,1687.85
1/1/15-1/31/15,06-FEB-15,9385,NEVADA STATE ATTORNEY GENERAL,FEES,COURT COLLECTION FUND-Due to attorney general,Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,112.26
1/1/15-1/31/15,06-FEB-15,453,NEVADA STATE CONTROLLER,FEES,"COURT ADMIN ASSESSMENT FUND-Deposit, AA Fees-Specialty Court",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,6192
1/1/15-1/31/15,06-FEB-15,453,NEVADA STATE CONTROLLER,FEES,"COURT ADMIN ASSESSMENT FUND-Deposit, AA Fees-State AOC",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,51790
1/1/15-1/31/15,06-FEB-15,453,NEVADA STATE CONTROLLER,FEES,"COURT ADMIN ASSESSMENT FUND-Deposit, AA Fees-State DUI Specialty Ct",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,2732
1/1/15-1/31/15,06-FEB-15,3126,NEVADA STATE CONTROLLER'S OFFICE,FEES - VICTIMS OF CRIME STATE OF NEVADA PAYMENT,GENERAL FUND-Victims of Crimes bond fees-Stat,Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,1875
2ND QTR 2015,06-FEB-15,2224,REGIONAL TRANSPORTATION COMM,FEES,"STREET IMPACT FEE FUND-Due to RTC, impact fees",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,2088.68
2ND QTR 2015,06-FEB-15,2224,REGIONAL TRANSPORTATION COMM,FEES,"STREET IMPACT FEE FUND-Due to RTC, impact fees",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,135284.54
2ND QTR 2015,06-FEB-15,2224,REGIONAL TRANSPORTATION COMM,FEES,"STREET IMPACT FEE FUND-Due to RTC, impact fees",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,428924.05
2015-00002628,06-FEB-15,9999999999,TEMP,BAIL REFUND CITY OF RENO VS. MARIA VIVIANA ALVAREZ-GONZALEZ,"GENERAL FUND-Deposits, bails",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,197
2015-00002630,06-FEB-15,9999999999,TEMP,BAIL REFUND CITY OF RENO VS. MAXIMINO SALAS-SALMERON,"GENERAL FUND-Deposits, bails",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,5000
2015-00002639,06-FEB-15,9999999999,TEMP,528155-001,SANITARY SEWER O/M FUND-Accounts Payable - Other,Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,464.43
2015-00002634,06-FEB-15,9999999999,TEMP,BAIL REFUND CITY OF RENO VS. REBECCA HAYHURST,"GENERAL FUND-Deposits, bails",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,5990
2015-00002624,06-FEB-15,9999999999,TEMP,BAIL REFUND CITY OF RENO VS. RUBEN RENTERIA,"GENERAL FUND-Deposits, bails",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,2250
2015-00002620,06-FEB-15,9999999999,TEMP,BAIL REFUND CITY OF RENO VS. CHARLES SEAMES,"GENERAL FUND-Deposits, bails",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,500
2015-00002631,06-FEB-15,9999999999,TEMP,BAIL REFUND CITY OF RENO VS. DAVID K BOWLES,"GENERAL FUND-Deposits, bails",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,2162
2015-00002627,06-FEB-15,9999999999,TEMP,BAIL REFUND CITY OF RENO VS. NEAL BILLINGSLEY,"GENERAL FUND-Deposits, bails",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,403
2015-00002635,06-FEB-15,9999999999,TEMP,BAIL REFUND CITY OF RENO VS. THOMAS CHAPMAN,"GENERAL FUND-Deposits, bails",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,500
2015-00002632,06-FEB-15,9999999999,TEMP,BAIL REFUND CITY OF RENO VS. EDWIN LOPEZ,"GENERAL FUND-Deposits, bails",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,962
2015-00002633,06-FEB-15,9999999999,TEMP,BAIL REFUND CITY OF RENO VS. STEPHANIE YURI TASHIRO,"GENERAL FUND-Deposits, bails",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,1297
2015-00002629,06-FEB-15,9999999999,TEMP,BAIL REFUND CITY OF RENO VS. ALEXANDRIA TOUSSANT,"GENERAL FUND-Deposits, bails",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,772
2015-00002643,06-FEB-15,9999999999,TEMP,1004400-001,SANITARY SEWER O/M FUND-Sewer Refunds Payable,Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,437.18
1/1/15-1/31/15,06-FEB-15,712,WASHOE COUNTY JUVENILE SVCS,FEES,"COURT ADMIN ASSESSMENT FUND-Deposit, AA Fees-Washoe Co.",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,1773
1/1/15-1/31/15,06-FEB-15,717,WASHOE COUNTY TREASURER,FEES,"COURT ADMIN ASSESSMENT FUND-Deposit, AA Fees-Washoe Co GMA",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,2596
1/1/15-1/31/15,06-FEB-15,717,WASHOE COUNTY TREASURER,FEES,GENERAL FUND-Due to Washoe Co Chem Analysis Fees,Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,1324.8
2015-00002640,06-FEB-15,1619,"WELLS FARGO INSURANCE SERVICES OF NEVADA, INC.",CRIME COVERAGE FOR 1/23/15-1/23/16 POLICY 00FA024737115,"RISK MANAGEMENT FUND-Prepaid, insurance",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,7528
we 02/06/15,06-FEB-15,6043,,FLEX SPENDING - COR,GENERAL FUND-Flex Spend Acct-City,Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,124.84
INV17130,06-FEB-15,276,CALEA,MEMBERSHIPS/ASSOCIATIONS,GENERAL FUND-Communications & Technology-Dispatch-Supplies,Communications and Technology,1700,Communications & Technology-Dispatch,1700-1710,Fiscal 14/15,3235
RR09449,06-FEB-15,17179,CDW-G GOVERNMENT INC,"COMPUTERS, Supplies",GENERAL FUND-Communications & Technology-Dispatch-Supplies,Communications and Technology,1700,Communications & Technology-Dispatch,1700-1710,Fiscal 14/15,286.16
00201,06-FEB-15,5316,SPENCER INVESTIGATIONS LLC,PERSONNEL/HIRING COSTS,GENERAL FUND-Communications & Technology-Dispatch-Outside services-other,Communications and Technology,1700,Communications & Technology-Dispatch,1700-1710,Fiscal 14/15,675
00202,06-FEB-15,5316,SPENCER INVESTIGATIONS LLC,PERSONNEL/HIRING COSTS,GENERAL FUND-Communications & Technology-Dispatch-Outside services-other,Communications and Technology,1700,Communications & Technology-Dispatch,1700-1710,Fiscal 14/15,675
1815000105C,06-FEB-15,3753,WASHOE COUNTY REGIONAL PUBLIC SAFETY TRAINING CNTR,YEARLY FEE/ECOM,GENERAL FUND-Communications & Technology-Dispatch-Rentals,Communications and Technology,1700,Communications & Technology-Dispatch,1700-1710,Fiscal 14/15,4104.77
73545,06-FEB-15,191,ACTION ELECTRIC INC,CONTRACTORS,GENERAL FUND-Communications & Technology-Technology-Outside services-other,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,112.5
C12NW301,06-FEB-15,2929,ADI-HONEYWELL INTERNATIONAL,"RADIOS, MOBILE/PORTABLE",GENERAL FUND-Communications & Technology-Technology-Supplies,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,999.98
2015-00002644,06-FEB-15,428,AT&T,"UTILITIES, TELEPHONE",GENERAL FUND-Communications & Technology-Technology-Communication,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,5527.26
2015-00002611,06-FEB-15,6792,CHARTER COMMUNICATIONS,CABLE/WIRE/FIBER OPTICS,GENERAL FUND-Communications & Technology-Technology-Communication,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,4325.96
2015-00002612,06-FEB-15,6792,CHARTER COMMUNICATIONS,CABLE/WIRE/FIBER OPTICS,GENERAL FUND-Communications & Technology-Technology-Communication,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,5960.14
XJM8TR9J2,06-FEB-15,8855,DELL COMPUTER CORP,Spare Monitors for Replacements,GENERAL FUND-Communications & Technology-Technology-Supplies-to be tracked,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,2545.2
12-964,06-FEB-15,27425,EDGE COMMUNICATIONS,COMMUNITY DEVELOPMENT FIBER MOVE,GENERAL FUND-Communications & Technology-Technology-Outside services-other,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,48200
42668617,06-FEB-15,9092,ORACLE CORPORATION,Annual Oracle Maintenance,GENERAL FUND-Communications & Technology-Technology-Outside services-other,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,241.22
1815001185,06-FEB-15,27942,WASHOE COUNTY TREASURER,FY 15-JAN 800MHZ,GENERAL FUND-Communications & Technology-Technology-Outside services-other,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,21225.89
2015-00002618,06-FEB-15,5078,ZAYO BANDWIDTH LLC,INTERNET SERVICES,GENERAL FUND-Communications & Technology-Technology-Outside services-other,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,1969.67
588435,06-FEB-15,25331,OFFICEMAX,Task Chair for Inspectors,BUILDING PERMIT FUND-Community Development-Building Permits-Enforcement-Outside services-other,Community Development,0700,Community Development-Building Permits-Enforcement,0700-0770,Fiscal 14/15,240
588435,06-FEB-15,25331,OFFICEMAX,Task Chair for Inspectors,BUILDING PERMIT FUND-Community Development-Building Permits-Enforcement-Supplies,Community Development,0700,Community Development-Building Permits-Enforcement,0700-0770,Fiscal 14/15,5316
41619,06-FEB-15,9293,WORK WORLD,"CLOTHING, PROTECTIVE",BUILDING PERMIT FUND-Community Development-Building Permits-Enforcement-Miscellaneous operating expense,Community Development,0700,Community Development-Building Permits-Enforcement,0700-0770,Fiscal 14/15,134.98
41618,06-FEB-15,9293,WORK WORLD,"CLOTHING, PROTECTIVE",BUILDING PERMIT FUND-Community Development-Building Permits-Enforcement-Miscellaneous operating expense,Community Development,0700,Community Development-Building Permits-Enforcement,0700-0770,Fiscal 14/15,143.98
41620,06-FEB-15,9293,WORK WORLD,"CLOTHING, PROTECTIVE",BUILDING PERMIT FUND-Community Development-Building Permits-Enforcement-Miscellaneous operating expense,Community Development,0700,Community Development-Building Permits-Enforcement,0700-0770,Fiscal 14/15,134.98
DECEMBER 2014,06-FEB-15,4994,CATHOLIC CHARITIES OF NORTHERN NEVADA,Community Development Block Grants,CAC OPERATIONS-Community Development-CAC Operations-Non-city programs,Community Development,0700,Community Development-CAC Operations,0700-0050,Fiscal 14/15,16439.37
2015-00002645,06-FEB-15,622,NV ENERGY,UTILITIES,CAC OPERATIONS-Community Development-CAC Operations-Public utility service,Community Development,0700,Community Development-CAC Operations,0700-0050,Fiscal 14/15,67.21
95798,06-FEB-15,137,COSTCO,FURNITURE/FURNISHINGS/APPLIANCES,GENERAL FUND-Fire-Emergency Operations-Supplies,Fire,0900,Fire-Emergency Operations,0900-0920,Fiscal 14/15,324.78
2015-00002645,06-FEB-15,622,NV ENERGY,UTILITIES,CAC OPERATIONS-Community Development-CAC Operations-Public utility service,Community Development,0700,Community Development-CAC Operations,0700-0050,Fiscal 14/15,4183
2015-00002646,06-FEB-15,8277,TMWA,"UTILITIES, Water",CAC OPERATIONS-Community Development-CAC Operations-Public utility service,Community Development,0700,Community Development-CAC Operations,0700-0050,Fiscal 14/15,425.02
